Issue_date	Name	Name_of_Issuer	CUSIP	Shares
2012-05-15	ADVANCE_CAPITAL_I_INC	MERCK & COMPANY, INC..	58933Y105	85,100
2012-05-15	ADVANCE_CAPITAL_I_INC	MARATHON OIL CORP..	565849106	26,900
2012-05-15	ADVANCE_CAPITAL_I_INC	MSCI INC	55354G100	13,900
2012-05-15	ADVANCE_CAPITAL_I_INC	MICROSOFT	594918104	56,180
2012-05-15	ADVANCE_CAPITAL_I_INC	MSC INDUSTRIAL DIREC	553530106	6,700
2012-05-15	ADVANCE_CAPITAL_I_INC	METTLER-TOLEDO INTL.	592688105	3,400
2012-05-15	ADVANCE_CAPITAL_I_INC	MURPHY OIL CORP	626717102	6,900
2012-05-15	ADVANCE_CAPITAL_I_INC	MYLAN INCCOM	628530107	39,500
2012-05-15	ADVANCE_CAPITAL_I_INC	NATIONAL INSTRUMENTSCORP.	636518102	10,800
2012-05-15	ADVANCE_CAPITAL_I_INC	NCR CORPCOM	62886E108	23,400
2012-05-15	ADVANCE_CAPITAL_I_INC	NOBLE CORPORATION	H5833N103	6,726
2012-05-15	ADVANCE_CAPITAL_I_INC	NEXTERA ENERGY INC	65339F101	11,300
2012-05-15	ADVANCE_CAPITAL_I_INC	NEWMARKET CORP	651587107	1,200
2012-05-15	ADVANCE_CAPITAL_I_INC	NATIONAL FUEL GAS	636180101	12,900
2012-05-15	ADVANCE_CAPITAL_I_INC	NIKE	654106103	3,600
2012-05-15	ADVANCE_CAPITAL_I_INC	Northrop Grumman	666807102	3,449
2012-05-15	ADVANCE_CAPITAL_I_INC	NATIONAL OILWELLVARCO INC	637071101	14,900
2012-05-15	ADVANCE_CAPITAL_I_INC	NEUSTAR INC	64126X201	11,000
2012-05-15	ADVANCE_CAPITAL_I_INC	NSTARCOMMON	67019E107	11,400
2012-05-15	ADVANCE_CAPITAL_I_INC	NETEASE	64110W102	4,600
2012-05-15	ADVANCE_CAPITAL_I_INC	NORTHERN TRUST CORPORATION	665859104	13,100
2012-05-15	ADVANCE_CAPITAL_I_INC	NV ENERGY INCCOM	67073Y106	27,600
2012-05-15	ADVANCE_CAPITAL_I_INC	NVR INCCM	62944T105	550
2012-05-15	ADVANCE_CAPITAL_I_INC	NXP SEMICONDUCTOR	N6596X109	24,900
2012-05-15	ADVANCE_CAPITAL_I_INC	NEW YORK COMM BANCOR	649445103	48,400
2012-05-15	ADVANCE_CAPITAL_I_INC	NYSE EURONEXT	629491101	14,500
2012-05-15	ADVANCE_CAPITAL_I_INC	REALTY INCOME CORP	756109104	14,900
2012-05-15	ADVANCE_CAPITAL_I_INC	OGE ENERGY PROGRAM	670837103	10,800
2012-05-15	ADVANCE_CAPITAL_I_INC	OCEANEERING INTERNAT	675232102	14,400
2012-05-15	ADVANCE_CAPITAL_I_INC	OIL STATES INTL	678026105	7,300
2012-05-15	ADVANCE_CAPITAL_I_INC	ORACLE	68389X105	34,441
2012-05-15	ADVANCE_CAPITAL_I_INC	OLD REPUBLIC INTL	680223104	29,900
2012-05-15	ADVANCE_CAPITAL_I_INC	OCCIDENTAL PETROLEUM	674599105	2,601
2012-05-15	ADVANCE_CAPITAL_I_INC	VERIFONE SYSTEMS INC	92342Y109	25,300
2012-05-15	ADVANCE_CAPITAL_I_INC	PEPSICO, INC.	713448108	54,100
2012-05-15	ADVANCE_CAPITAL_I_INC	PETSMART INC.	716768106	12,600
2012-05-15	ADVANCE_CAPITAL_I_INC	PFIZER INC.	717081103	50,885
2012-05-15	ADVANCE_CAPITAL_I_INC	PRINCIPAL FINANCIALGROUP	74251V102	12,300
2012-05-15	ADVANCE_CAPITAL_I_INC	PROCTOR & GAMBLE	742718109	54,800
2012-05-15	ADVANCE_CAPITAL_I_INC	POLARIS INDUSTRIES	731068102	9,500
2012-05-15	ADVANCE_CAPITAL_I_INC	PACKAGING CORP OF AM	695156109	10,600
2012-05-15	ADVANCE_CAPITAL_I_INC	POLYCOM	73172K104	25,800
2012-05-15	ADVANCE_CAPITAL_I_INC	PLANTRONICS INC	727493108	5,000
2012-05-15	ADVANCE_CAPITAL_I_INC	PNC BANK CORPORATION	693475105	9,500
2012-05-15	ADVANCE_CAPITAL_I_INC	PANERA BREAD CO	69840W108	3,300
2012-05-15	ADVANCE_CAPITAL_I_INC	PPG INDS INC.	693506107	7,500
2012-05-15	ADVANCE_CAPITAL_I_INC	PPL CORPORATION	69351T106	21,500
2012-05-15	ADVANCE_CAPITAL_I_INC	PERRIGO COMPANY	714290103	7,900
2012-05-15	ADVANCE_CAPITAL_I_INC	PATTERSON-UTI ENERGY	703481101	23,400
2012-05-15	ADVANCE_CAPITAL_I_INC	PVH CORP	693656100	7,500
2012-05-15	ADVANCE_CAPITAL_I_INC	PLAINS EXPLORATION	726505100	14,000
2012-05-15	ADVANCE_CAPITAL_I_INC	QUALCOMM INC	747525103	12,600
2012-05-15	ADVANCE_CAPITAL_I_INC	RALCORP HOLDINGS COR	751028101	3,500
2012-05-15	ADVANCE_CAPITAL_I_INC	REYNOLDS AMERICAN	761713106	12,300
2012-05-15	ADVANCE_CAPITAL_I_INC	RACKSPACE HOSTING	750086100	11,400
2012-05-15	ADVANCE_CAPITAL_I_INC	REGAL BELOIT CORP	758750103	4,800
2012-05-15	ADVANCE_CAPITAL_I_INC	EVEREST REINSURANCE	G3223R108	5,900
2012-05-15	ADVANCE_CAPITAL_I_INC	REGENERON PHARMACEUT	75886F107	8,400
2012-05-15	ADVANCE_CAPITAL_I_INC	REINSURANCE GROUPAMER INC	759351604	11,400
2012-05-15	ADVANCE_CAPITAL_I_INC	RAYMOND JAMES FINANCIAL, INC.	754730109	12,000
2012-05-15	ADVANCE_CAPITAL_I_INC	ROCK-TENN CO	772739207	7,800
2012-05-15	ADVANCE_CAPITAL_I_INC	RESMED INC.	761152107	16,600
2012-05-15	ADVANCE_CAPITAL_I_INC	ROVI CORP	779376102	15,900
2012-05-15	ADVANCE_CAPITAL_I_INC	RPM INTERNATIONALINC	749685103	15,300
2012-05-15	ADVANCE_CAPITAL_I_INC	RELIANCE STEEL & ALU	759509102	8,300
2012-05-15	ADVANCE_CAPITAL_I_INC	RAYTHEON CO	755111507	13,400
2012-05-15	ADVANCE_CAPITAL_I_INC	RIVERBED TECHNOLOGY	768573107	12,100
2012-05-15	ADVANCE_CAPITAL_I_INC	RAYONIER INC	754907103	13,400
2012-05-15	ADVANCE_CAPITAL_I_INC	SERVICE CORP INTL	817565104	24,300
2012-05-15	ADVANCE_CAPITAL_I_INC	SEI CORPORATION	784117103	22,800
2012-05-15	ADVANCE_CAPITAL_I_INC	SMITHFIELD FOODS INC	832248108	17,700
2012-05-15	ADVANCE_CAPITAL_I_INC	JM SMUCKER CO	832696405	4,200
2012-05-15	ADVANCE_CAPITAL_I_INC	SL GREEN REALTY CORP	78440X101	9,600
2012-05-15	ADVANCE_CAPITAL_I_INC	SILGAN HOLDINGS INC	827048109	5,600
2012-05-15	ADVANCE_CAPITAL_I_INC	SOLERA HOLDINGS INC	83421A104	20,050
2012-05-15	ADVANCE_CAPITAL_I_INC	SM ENERGY CO	78454L100	7,000
2012-05-15	ADVANCE_CAPITAL_I_INC	SCOTTS MIRACLE-GRO C	810186106	5,200
2012-05-15	ADVANCE_CAPITAL_I_INC	SENIOR HOUSING PROP	81721M109	17,900
2012-05-15	ADVANCE_CAPITAL_I_INC	SYNOPSYS, INC.*	871607107	16,800
2012-05-15	ADVANCE_CAPITAL_I_INC	STAPLES, INC.	855030102	22,300
2012-05-15	ADVANCE_CAPITAL_I_INC	SUPERIOR ENERGY SERV	868157108	17,100
2012-05-15	ADVANCE_CAPITAL_I_INC	SPX CORPCOM	784635104	5,900
2012-05-15	ADVANCE_CAPITAL_I_INC	STEEL DYNAMICS	858119100	25,600
2012-05-15	ADVANCE_CAPITAL_I_INC	QUESTAR CORP	748356102	20,800
2012-05-15	ADVANCE_CAPITAL_I_INC	SKYWORKS SOLUTIONS I	83088M102	21,800
2012-05-15	ADVANCE_CAPITAL_I_INC	STRYKER CORPORATION	863667101	9,700
2012-05-15	ADVANCE_CAPITAL_I_INC	SYMANTEC CORPORATION	871503108	18,925
2012-05-15	ADVANCE_CAPITAL_I_INC	AT&T	00206R102	139,870
2012-05-15	ADVANCE_CAPITAL_I_INC	TAUBMAN CENTERS INC	876664103	6,400
2012-05-15	ADVANCE_CAPITAL_I_INC	TORONTO DOMINION	891160509	8,200
2012-05-15	ADVANCE_CAPITAL_I_INC	TERADATA CORPORATION	88076W103	14,800
2012-05-15	ADVANCE_CAPITAL_I_INC	TECH DATA CORPCOM	878237106	4,500
2012-05-15	ADVANCE_CAPITAL_I_INC	TECHNE CORP.	878377100	4,300
2012-05-15	ADVANCE_CAPITAL_I_INC	Teva Pharmaceutical	881624209	7,400
2012-05-15	ADVANCE_CAPITAL_I_INC	TRIUMPH GROUP INCCOM	896818101	4,800
2012-05-15	ADVANCE_CAPITAL_I_INC	TARGET CORP.	87612E106	21,645
2012-05-15	ADVANCE_CAPITAL_I_INC	TIBCO SOFTWARE INC	88632Q103	17,800
2012-05-15	ADVANCE_CAPITAL_I_INC	TJX COMPANIES, INC.	872540109	15,000
2012-05-15	ADVANCE_CAPITAL_I_INC	TIMKEN CO	887389104	15,500
2012-05-15	ADVANCE_CAPITAL_I_INC	THOMAS & BETTS	884315102	5,800
2012-05-15	ADVANCE_CAPITAL_I_INC	Trimble Navigation	896239100	13,600
2012-05-15	ADVANCE_CAPITAL_I_INC	TRINITY INDS INC	896522109	9,000
2012-05-15	ADVANCE_CAPITAL_I_INC	ST PAUL TRAVELERS CO	89417E109	10,400
2012-05-15	ADVANCE_CAPITAL_I_INC	TRW Automotive Holdings Co	87264S106	22,500
2012-05-15	ADVANCE_CAPITAL_I_INC	TRACTOR SUPPLY CO	892356106	14,000
2012-05-15	ADVANCE_CAPITAL_I_INC	TUPPERWARE BRANDS	899896104	17,150
2012-05-15	ADVANCE_CAPITAL_I_INC	TOWERS WATSON & CO	891894107	5,700
2012-05-15	ADVANCE_CAPITAL_I_INC	TW TELECOM INC	87311L104	17,600
2012-05-15	ADVANCE_CAPITAL_I_INC	TIME WARNER INC	887317303	20,400
2012-05-15	ADVANCE_CAPITAL_I_INC	TEXAS INSTRUMENTS	882508104	16,100
2012-05-15	ADVANCE_CAPITAL_I_INC	UNDER ARMOUR INC	904311107	4,300
2012-05-15	ADVANCE_CAPITAL_I_INC	UDR INCCOM	902653104	24,200
2012-05-15	ADVANCE_CAPITAL_I_INC	UGI HOLDING CORPCOM	902681105	17,300
2012-05-15	ADVANCE_CAPITAL_I_INC	UNIVERSAL HEALTH SVS	913903100	15,100
2012-05-15	ADVANCE_CAPITAL_I_INC	UNITEDHEALTH GROUP I	91324P102	16,600
2012-05-15	ADVANCE_CAPITAL_I_INC	UNUM PROVIDENT CORP	91529Y106	21,900
2012-05-15	ADVANCE_CAPITAL_I_INC	UNIT CORP	909218109	5,900
2012-05-15	ADVANCE_CAPITAL_I_INC	UPS	911312106	5,300
2012-05-15	ADVANCE_CAPITAL_I_INC	UNITED RENTALS INC.	911363109	10,000
2012-05-15	ADVANCE_CAPITAL_I_INC	U.S. BANCORP	902973304	11,300
2012-05-15	ADVANCE_CAPITAL_I_INC	UNITED THERAPEUTICS	91307C102	8,200
2012-05-15	ADVANCE_CAPITAL_I_INC	UTI WORLDWIDE INC.	G87210103	12,000
2012-05-15	ADVANCE_CAPITAL_I_INC	UNITED TECHNOLOGIESCORPORATION	913017109	8,500
2012-05-15	ADVANCE_CAPITAL_I_INC	VISA INC	92826C839	5,900
2012-05-15	ADVANCE_CAPITAL_I_INC	VALSPAR CORPORATION	920355104	10,900
2012-05-15	ADVANCE_CAPITAL_I_INC	VISTEON CORP	92839U206	4,328
2012-05-15	ADVANCE_CAPITAL_I_INC	VALERO ENERGY CORP	91913Y100	8,600
2012-05-15	ADVANCE_CAPITAL_I_INC	VALMONT INDUSTRIES	920253101	2,600
2012-05-15	ADVANCE_CAPITAL_I_INC	VODAFONE GROUP PLC	92857W209	8,775
2012-05-15	ADVANCE_CAPITAL_I_INC	VERTEX PHARMA.	92532F100	23,000
2012-05-15	ADVANCE_CAPITAL_I_INC	VERIZON COMM	92343V104	22,300
2012-05-15	ADVANCE_CAPITAL_I_INC	WABTEC	929740108	5,200
2012-05-15	ADVANCE_CAPITAL_I_INC	WALGREEN CO	931422109	13,900
2012-05-15	ADVANCE_CAPITAL_I_INC	WASTE CONNECTIONS	941053100	33,800
2012-05-15	ADVANCE_CAPITAL_I_INC	WADDEL & REED FINANCIAL CLASS A	930059100	9,600
2012-05-15	ADVANCE_CAPITAL_I_INC	WELLS FARGO	949746101	52,664
2012-05-15	ADVANCE_CAPITAL_I_INC	WAL-MART	931142103	16,769
2012-05-15	ADVANCE_CAPITAL_I_INC	WESTAR ENERGY INC	95709T100	13,500
2012-05-15	ADVANCE_CAPITAL_I_INC	WR BERKLEY CORP	084423102	12,300
2012-05-15	ADVANCE_CAPITAL_I_INC	WARNACO GROUP INC	934390402	4,400
2012-05-15	ADVANCE_CAPITAL_I_INC	WILLIAMS-SONOMA, INC..*	969904101	11,200
2012-05-15	ADVANCE_CAPITAL_I_INC	AQUA AMERICA INC.	03836W103	20,900
2012-05-15	ADVANCE_CAPITAL_I_INC	WESTERN UNION	959802109	36,100
2012-05-15	ADVANCE_CAPITAL_I_INC	WOODWARD INC.	980745103	6,700
2012-05-15	ADVANCE_CAPITAL_I_INC	WRIGHT EXPRESS CORP	98233Q105	10,000
2012-05-15	ADVANCE_CAPITAL_I_INC	CIMAREX ENERGY CO	171798101	9,500
2012-05-15	ADVANCE_CAPITAL_I_INC	EXXON MOBIL CORP.	30231G102	51,103
2012-05-15	ADVANCE_CAPITAL_I_INC	XEROX CORP	984121103	65,900
2012-05-15	ADVANCE_CAPITAL_I_INC	ZEBRA TECHNOLOGIES	989207105	7,500
2012-02-02	ADVANCE_CAPITAL_I_INC	ISHARES MORNINGSTAR MID GROWTH	464288307	41,700
2012-02-02	ADVANCE_CAPITAL_I_INC	ISHARES S&P MIDCAP 400 GROWTH	464287606	47,600
2012-02-02	ADVANCE_CAPITAL_I_INC	BED BATH & BEYOND	075896100	15,000
2012-02-02	ADVANCE_CAPITAL_I_INC	CARBO CERAMICS INC	140781105	7,700
2012-02-02	ADVANCE_CAPITAL_I_INC	CATALYST HEALTH SOLUTIONS IN	14888B103	25,250
2012-02-02	ADVANCE_CAPITAL_I_INC	CERNER CORP	156782104	7,900
2012-02-02	ADVANCE_CAPITAL_I_INC	CHIPOTLE MEXICAN GRILL INC	169656105	1,050
2012-02-02	ADVANCE_CAPITAL_I_INC	CHURCH & DWIGHT CO.	171340102	26,600
2012-02-02	ADVANCE_CAPITAL_I_INC	CLIFFS NATURAL	18683K101	10,400
2012-02-02	ADVANCE_CAPITAL_I_INC	COINSTAR INC	19259P300	6,300
2012-02-02	ADVANCE_CAPITAL_I_INC	DOLLAR TREE	256746108	19,550
2012-02-02	ADVANCE_CAPITAL_I_INC	EDWARDS LIFESCIENCES CORP	28176E108	14,150
2012-02-02	ADVANCE_CAPITAL_I_INC	ENDO PHARMACEUT HLDGS INC	29264F205	46,200
2012-02-02	ADVANCE_CAPITAL_I_INC	EZCORP INC-CL A	302301106	19,600
2012-02-02	ADVANCE_CAPITAL_I_INC	F5 NETWORKS INC	315616102	8,200
2012-02-02	ADVANCE_CAPITAL_I_INC	FASTENAL CO	311900104	10,650
2012-02-02	ADVANCE_CAPITAL_I_INC	FIRST CASH FINL SVCS INC	31942D107	20,000
2012-02-02	ADVANCE_CAPITAL_I_INC	INFORMATICA CORP	45666Q102	25,700
2012-02-02	ADVANCE_CAPITAL_I_INC	J2 GLOBAL COMMUNICATIONS	48123V102	31,100
2012-02-02	ADVANCE_CAPITAL_I_INC	JOY GLOBAL INC	481165108	7,900
2012-02-02	ADVANCE_CAPITAL_I_INC	MYLAN INC	628530107	39,500
2012-02-02	ADVANCE_CAPITAL_I_INC	NXP SEMICONDUCTOR	053329578	18,800
2012-02-02	ADVANCE_CAPITAL_I_INC	PERRIGO CO	714290103	18,800
2012-02-02	ADVANCE_CAPITAL_I_INC	PPG INDUSTRIES	693506107	17,300
2012-02-02	ADVANCE_CAPITAL_I_INC	SOLERA HOLDINGS	83421A104	20,750
2012-02-02	ADVANCE_CAPITAL_I_INC	TERADATA CORP	88076W103	12,000
2012-02-02	ADVANCE_CAPITAL_I_INC	TRACTOR SUPPLY	892356106	16,300
2012-02-02	ADVANCE_CAPITAL_I_INC	TUPPERWARE BRANDS	899896104	17,750
2012-02-02	ADVANCE_CAPITAL_I_INC	UNDER ARMOUR	904311107	8,400
2012-02-02	ADVANCE_CAPITAL_I_INC	WRIGHT EXPRESS	98233Q105	11,600
2012-02-02	ADVANCE_CAPITAL_I_INC	WESTERN UNION	959802109	31,600
2012-02-02	ADVANCE_CAPITAL_I_INC	WORLD FUEL SERVICES	981475106	20,350
2012-02-02	ADVANCE_CAPITAL_I_INC	Aaron's Inc	002535300	9,200
2012-02-02	ADVANCE_CAPITAL_I_INC	ACI Worldwide	004498101	3,800
2012-02-02	ADVANCE_CAPITAL_I_INC	Advance Auto Parts Inc	00751Y106	8,700
2012-02-02	ADVANCE_CAPITAL_I_INC	Adtran	00738A106	7,300
2012-02-02	ADVANCE_CAPITAL_I_INC	AECOM Technology Corp	00766T100	13,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Affiliated Managers Group Inc	008252108	6,100
2012-02-02	ADVANCE_CAPITAL_I_INC	AGCO Corp	001084102	11,300
2012-02-02	ADVANCE_CAPITAL_I_INC	AGL Resources Inc	001204106	9,200
2012-02-02	ADVANCE_CAPITAL_I_INC	Alaska Air Group Inc	011659109	4,300
2012-02-02	ADVANCE_CAPITAL_I_INC	Albemarle Corp	012653101	10,700
2012-02-02	ADVANCE_CAPITAL_I_INC	Alexandria Real Estate Equities Inc	015271109	7,300
2012-02-02	ADVANCE_CAPITAL_I_INC	Alliance Data Systems Corp	018581108	5,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Alliant Energy Corp	018802108	13,000
2012-02-02	ADVANCE_CAPITAL_I_INC	Alliant Techsystems Inc	018804104	3,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Allscripts Healthcare Solutions Inc	01988P108	21,900
2012-02-02	ADVANCE_CAPITAL_I_INC	AMC Networks Inc	00164V103	6,700
2012-02-02	ADVANCE_CAPITAL_I_INC	American Campus Communities Inc	024835100	8,100
2012-02-02	ADVANCE_CAPITAL_I_INC	American Eagle Outfitters Inc	02553E106	22,800
2012-02-02	ADVANCE_CAPITAL_I_INC	American Financial Group Inc/OH	025932104	9,200
2012-02-02	ADVANCE_CAPITAL_I_INC	AMETEK Inc	031100100	18,900
2012-02-02	ADVANCE_CAPITAL_I_INC	ANSYS Inc	03662Q105	10,800
2012-02-02	ADVANCE_CAPITAL_I_INC	Aptargroup Inc	038336103	7,800
2012-02-02	ADVANCE_CAPITAL_I_INC	Aqua America Inc	03836W103	16,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Arch Coal Inc	039380100	24,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Arrow Electronics Inc	042735100	13,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Arthur J Gallagher & Co	363576109	13,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Ashland Inc	044209104	9,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Atmel Corp	049513104	54,400
2012-02-02	ADVANCE_CAPITAL_I_INC	Avnet Inc	053807103	17,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Bally Technology	05874B107	5,000
2012-02-02	ADVANCE_CAPITAL_I_INC	BE Aerospace Inc	073302101	12,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Bill Barrett Corp	06846N104	5,300
2012-02-02	ADVANCE_CAPITAL_I_INC	BorgWarner Inc	099724106	12,800
2012-02-02	ADVANCE_CAPITAL_I_INC	BRE Properties Inc	05564E106	8,700
2012-02-02	ADVANCE_CAPITAL_I_INC	Brinker International	109641100	9,300
2012-02-02	ADVANCE_CAPITAL_I_INC	Broadridge Financial Solutions Inc	11133T103	14,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Brown & Brown Inc	115236101	13,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Cadence Design Systems Inc	127387108	31,400
2012-02-02	ADVANCE_CAPITAL_I_INC	Camden Property Trust	133131102	8,300
2012-02-02	ADVANCE_CAPITAL_I_INC	Carlisle Cos Inc	142339100	7,200
2012-02-02	ADVANCE_CAPITAL_I_INC	Carpenter Technology Corp	144285103	5,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Cheesecake Factory	163072101	6,300
2012-02-02	ADVANCE_CAPITAL_I_INC	Chico's FAS Inc	168615102	20,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Cimarex Energy Co	171798101	10,000
2012-02-02	ADVANCE_CAPITAL_I_INC	Clean Harbors Inc	184496107	5,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Commerce Bancshares Inc/MO	200525103	9,555
2012-02-02	ADVANCE_CAPITAL_I_INC	Community Health	203668108	10,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Compass Minerals International Inc	20451N101	3,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Cooper Cos Inc/The	216648402	5,600
2012-02-02	ADVANCE_CAPITAL_I_INC	Copart Inc	217204106	6,600
2012-02-02	ADVANCE_CAPITAL_I_INC	Corn Products International Inc	219023108	9,000
2012-02-02	ADVANCE_CAPITAL_I_INC	Corrections Corp of America	22025Y407	12,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Covance Inc	222816100	7,200
2012-02-02	ADVANCE_CAPITAL_I_INC	Cree Inc	225447101	13,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Cullen/Frost Bankers Inc	229899109	7,200
2012-02-02	ADVANCE_CAPITAL_I_INC	Cypress Semiconductor Corp	232806109	20,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Deckers Outdoor Corp	243537107	4,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Dick's Sporting Goods Inc	253393102	11,300
2012-02-02	ADVANCE_CAPITAL_I_INC	Donaldson Co Inc	257651109	8,800
2012-02-02	ADVANCE_CAPITAL_I_INC	Dreamworks Animation	26153C103	8,000
2012-02-02	ADVANCE_CAPITAL_I_INC	Dresser-Rand Group Inc	261608103	9,400
2012-02-02	ADVANCE_CAPITAL_I_INC	Duke Realty Corp	264411505	29,500
2012-02-02	ADVANCE_CAPITAL_I_INC	East West Bancorp Inc	27579R104	17,400
2012-02-02	ADVANCE_CAPITAL_I_INC	Eaton Vance Corp	278265103	13,800
2012-02-02	ADVANCE_CAPITAL_I_INC	Energen Corp	29265N108	8,400
2012-02-02	ADVANCE_CAPITAL_I_INC	Equinix Inc	29444U502	5,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Essex Property Trust Inc	297178105	3,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Everest Re Group Ltd	G3223R108	6,300
2012-02-02	ADVANCE_CAPITAL_I_INC	Factset Research Systems Inc	303075105	5,400
2012-02-02	ADVANCE_CAPITAL_I_INC	Federal Realty Investment Trust	313747206	7,300
2012-02-02	ADVANCE_CAPITAL_I_INC	Fidelity National Financial Inc	31620R105	26,200
2012-02-02	ADVANCE_CAPITAL_I_INC	First Niagara Financial Group Inc	33582V108	34,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Foot Locker Inc	344849104	17,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Fossil Inc	349882100	6,200
2012-02-02	ADVANCE_CAPITAL_I_INC	Gardner Denver Inc	365558105	6,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Gartner Inc	366651107	11,300
2012-02-02	ADVANCE_CAPITAL_I_INC	Gen-Probe Inc	36866T103	5,600
2012-02-02	ADVANCE_CAPITAL_I_INC	Gentex Corp	371901109	16,200
2012-02-02	ADVANCE_CAPITAL_I_INC	Global Payments Inc	37940X102	9,400
2012-02-02	ADVANCE_CAPITAL_I_INC	Graco Inc	384109104	7,200
2012-02-02	ADVANCE_CAPITAL_I_INC	Green Mountain Coffee Roasters Inc	393122106	10,800
2012-02-02	ADVANCE_CAPITAL_I_INC	Guess? Inc	401617105	7,800
2012-02-02	ADVANCE_CAPITAL_I_INC	Hancock Holding Co	410120109	9,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Hanesbrands Inc	410345102	11,300
2012-02-02	ADVANCE_CAPITAL_I_INC	Hansen Natural Corp	411310105	9,000
2012-02-02	ADVANCE_CAPITAL_I_INC	HCC Insurance Holdings Inc	404132102	12,800
2012-02-02	ADVANCE_CAPITAL_I_INC	Health Management	421933102	28,600
2012-02-02	ADVANCE_CAPITAL_I_INC	Health Net Inc	42222G108	10,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Henry Schein Inc	806407102	10,800
2012-02-02	ADVANCE_CAPITAL_I_INC	Herman Miller	600544100	4,700
2012-02-02	ADVANCE_CAPITAL_I_INC	Hill-Rom	431475102	7,100
2012-02-02	ADVANCE_CAPITAL_I_INC	HollyFrontier Corp	436106108	24,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Hologic Inc	436440101	30,600
2012-02-02	ADVANCE_CAPITAL_I_INC	Hubbell Inc	443510201	6,900
2012-02-02	ADVANCE_CAPITAL_I_INC	IDEX Corp	45167R104	9,700
2012-02-02	ADVANCE_CAPITAL_I_INC	IDEXX Laboratories Inc	45168D104	6,600
2012-02-02	ADVANCE_CAPITAL_I_INC	Ingram Micro Inc	457153104	18,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Intrepid Potash	46121Y102	6,000
2012-02-02	ADVANCE_CAPITAL_I_INC	Jack Henry & Associates Inc	426281101	10,100
2012-02-02	ADVANCE_CAPITAL_I_INC	JB Hunt Transport Services Inc	445658107	10,900
2012-02-02	ADVANCE_CAPITAL_I_INC	John Wiley & Sons Inc	968223206	5,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Jones Lang LaSalle Inc	48020Q107	5,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Kansas City Southern	485170302	12,700
2012-02-02	ADVANCE_CAPITAL_I_INC	KBR Inc	48242W106	17,600
2012-02-02	ADVANCE_CAPITAL_I_INC	Kennametal Inc	489170100	9,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Kirby Corp	497266106	6,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Lam Research Corp	512807108	14,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Landstar System Inc	515098101	5,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Lennox International Inc	526107107	6,200
2012-02-02	ADVANCE_CAPITAL_I_INC	Liberty Property Trust	531172104	13,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Lincare Holdings	532791100	10,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Lincoln Electric Holdings Inc	533900106	9,800
2012-02-02	ADVANCE_CAPITAL_I_INC	LKQ Corp	501889208	17,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Macerich Co/The	554382101	15,400
2012-02-02	ADVANCE_CAPITAL_I_INC	Mack-Cali Realty Corp	554489104	10,200
2012-02-02	ADVANCE_CAPITAL_I_INC	Manpower Inc	56418H100	9,600
2012-02-02	ADVANCE_CAPITAL_I_INC	Martin Marietta Materials Inc	573284106	5,400
2012-02-02	ADVANCE_CAPITAL_I_INC	Mednax Inc	58502B106	5,600
2012-02-02	ADVANCE_CAPITAL_I_INC	Mettler-Toledo International Inc	592688105	3,700
2012-02-02	ADVANCE_CAPITAL_I_INC	MICROS Systems Inc	594901100	9,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Mohawk Industries Inc	608190104	6,600
